active,category,item_name,size,price,description,badge,sort_order
TRUE,SPECIALITY PIZZAS,CHICKEN TACO,Medium,$17.49,"A Mexican-inspired pizza featuring tandoori chicken, zesty salsa, sliced onions, sour cream, fresh lettuce, diced tomatoes, and shredded cheddar cheese.",,850
TRUE,SPECIALITY PIZZAS,CHICKEN TACO,Large,$19.49,"A Mexican-inspired pizza featuring tandoori chicken, zesty salsa, sliced onions, sour cream, fresh lettuce, diced tomatoes, and shredded cheddar cheese.",,860
TRUE,SPECIALITY PIZZAS,BUTTER CHICKEN SPECIAL,Small,$15.49,"A fusion flavor with mushrooms, red onions, green peppers, tomatoes, and butter chicken.",,870
TRUE,SPECIALITY PIZZAS,BUTTER CHICKEN SPECIAL,Medium,$17.49,"A fusion flavor with mushrooms, red onions, green peppers, tomatoes, and butter chicken.",,880
TRUE,SPECIALITY PIZZAS,BUTTER CHICKEN SPECIAL,Large,$19.49,"A fusion flavor with mushrooms, red onions, green peppers, tomatoes, and butter chicken.",,890
TRUE,PASTA DISHES,VEGGIE LASAGNA,SMALL,$13,,,900
TRUE,PASTA DISHES,VEGGIE LASAGNA,LARGE,$15,,,910
TRUE,PASTA DISHES,MEAT SAUCE LASAGNA,SMALL,$14,(BEEF OR CHICKEN),,920
TRUE,PASTA DISHES,MEAT SAUCE LASAGNA,LARGE,$17,(BEEF OR CHICKEN),,930
TRUE,PASTA DISHES,MEAT SAUCE LASAGNA WITH MEAT BALLS,SMALL,$14,,,940
TRUE,PASTA DISHES,MEAT SAUCE LASAGNA WITH MEAT BALLS,LARGE,$17,,,950
TRUE,PASTA DISHES,MEAT SAUCE WITH MUSHROOMS & MEAT BALLS,SMALL,$14.50,,,960
TRUE,PASTA DISHES,MEAT SAUCE WITH MUSHROOMS & MEAT BALLS,LARGE,$17.50,,,970
TRUE,WINGS & MORE,HOT & SPICY WINGS,(10),$14,,,980
TRUE,WINGS & MORE,HONEY GARLIC WINGS,(10),$14,,,990
TRUE,WINGS & MORE,BBQ WINGS,(10),$14,,,1000
TRUE,WINGS & MORE,CHEESY BREAD STICKS,,$15,,,1010
TRUE,WINGS & MORE,GARLIC TOAST,,$2,,,1020
TRUE,WINGS & MORE,CHEESE GARLIC TOAST,,$3,,,1030
TRUE,WINGS & MORE,TANDOORI WINGS,(10),$14.50,,,1040
TRUE,WINGS & MORE,VEGGIE BREAD STICKS,,$16.50,,,1050
TRUE,WINGS & MORE,Salt & Pepper Wings,,$14,,,1060
TRUE,MAKE YOUR OWN,Make Your Own,,$12,SMALL Pizza with three toppings included.,,1070
TRUE,MAKE YOUR OWN,Make Your Own,,$14,MEDIUM Pizza with three toppings included.,,1080
TRUE,MAKE YOUR OWN,Make Your Own,,$16,LARGE Pizza with three toppings included.,,1090
TRUE,DRINKS,Coke,Pop,$1.99,,,1100
TRUE,DRINKS,Coke,Small Bottle,$3.99,,,1110
TRUE,DRINKS,Coke,2L,$4.99,,,1120
TRUE,DRINKS,Coke diet,Pop,$1.99,,,1130
TRUE,DRINKS,Coke diet,Small Bottle,$3.99,,,1140
TRUE,DRINKS,Coke diet,2L,$4.99,,,1150
TRUE,DRINKS,7up,Pop,$1.99,,,1160
TRUE,DRINKS,7up,Small Bottle,$3.99,,,1170
TRUE,DRINKS,7up,2L,$4.99,,,1180
TRUE,DRINKS,Root beer A&W,Pop,$1.99,,,1190
TRUE,DRINKS,Root beer A&W,Small Bottle,$3.99,,,1200
TRUE,DRINKS,Root beer A&W,2L,$4.99,,,1210
TRUE,DRINKS,Coke Zero,Pop,$1.99,,,1220
TRUE,DRINKS,Coke Zero,Small Bottle,$3.99,,,1230
TRUE,DRINKS,Coke Zero,2L,$4.99,,,1240
TRUE,DRINKS,Crush Orange,Pop,$1.99,,,1250
TRUE,DRINKS,Crush Orange,Small Bottle,$3.99,,,1260
TRUE,DRINKS,Crush Orange,2L,$4.99,,,1270
TRUE,DRINKS,Canada Dry,Pop,$1.99,,,1280
TRUE,DRINKS,Canada Dry,Small Bottle,$3.99,,,1290
TRUE,DRINKS,Canada Dry,2L,$4.99,,,1300
TRUE,DRINKS,Pepsi original,Pop,$1.99,,,1310
TRUE,DRINKS,Pepsi original,Small Bottle,$3.99,,,1320
TRUE,DRINKS,Pepsi original,2L,$4.99,,,1330
TRUE,DRINKS,Pepsi Zero,Pop,$1.99,,,1340
TRUE,DRINKS,Pepsi Zero,Small Bottle,$3.99,,,1350
TRUE,DRINKS,Pepsi Zero,2L,$4.99,,,1360
TRUE,DRINKS,Pepsi Diet,Pop,$1.99,,,1370
TRUE,DRINKS,Pepsi Diet,Small Bottle,$3.99,,,1380
TRUE,DRINKS,Pepsi Diet,2L,$4.99,,,1390
TRUE,DESERTS,Two-Bite Brownies,,$3.99,Get two soft and hot brownies in just $3.99.,,1400
TRUE,NACHOS,Nachos,Regular,$10.99,"Cheesy, crispy, spicy, loaded nachos with green peppers, olives, ring onion, jalapeno peppers, double cheese melt, optional chicken or beef.",,1410
TRUE,NACHOS,Large Nachos,Large,$19.99,"Cheesy, crispy, spicy, loaded nachos with green peppers, olives, ring onion, jalapeno peppers, double cheese melt, optional chicken or beef.",,1420
